Name,StopId,StreetNumber,StreetName,SuburbId,StateId,CountryId,PostCode,EntranceType,Latitude,Longitude,ExitNumber
West,938,28,West Parade,13395,5,2,2114,Ramp,-33.806875,151.090157,NULL
West,940,1-55,West Parade,13395,5,2,2114,Stairs,-33.807467,151.089960,NULL
Alexandria,944,27,Alexandra Avenue,13428,5,2,2145,Ramp,-33.808641,150.987657,NULL
Alexandria,942,27,Alexandra Avenue,13428,5,2,2145,Stairs,-33.808708,150.987870,NULL
Railway,943,2,Railway Parade,13428,5,2,2145,Ramp,-33.808190,150.987715,NULL
Railway,941,25,Railway Parade,13428,5,2,2145,Stairs,-33.808361,150.988187,NULL
Hannell,619,10,Dangar Street,13517,5,2,2293,Path,-32.924128,151.759867,NULL
Hannell,620,27,Station Street,13517,5,2,2293,Path,-32.924432,151.759635,NULL
Charles,621,27,Station Street,13517,5,2,2293,Path,-32.923917,151.759388,NULL
King Georges,945,89,King Georges Road,13544,5,2,2195,Ramp,-33.922781,151.068062,NULL
King Georges,946,89,King Georges Road,13544,5,2,2195,Ramp,-33.922704,151.068018,NULL
George,947,6,Church Street,13642,5,2,2756,Path,-33.613623,150.811105,NULL
Cox,948,21,Cox Street,13642,5,2,2756,Path,-33.612927,150.809029,NULL
Railway,949,57-61,Railway Parade,13653,5,2,2579,Path,-34.692335,150.158381,NULL
Sydney,950,9,Wingello Street,13653,5,2,2579,Path,-34.692016,150.158205,NULL
Dungog,951,NULL,Dungog Road,13682,5,2,2420,Ramp,-32.462926,151.742468,NULL
Brodie Spark,952,NULL,NULL,13725,5,2,2205,Stairs,-33.928671,151.154443,NULL
Brodie Spark,953,NULL,Brodie Spark Drive,13725,5,2,2205,Lift,-33.928684,151.154358,NULL
Discovery Point,954,2,Discovery Point Place,13725,5,2,2205,Lift,-33.928849,151.153891,NULL
Discovery Point,955,2,Discovery Point Place,13725,5,2,2205,Stairs,-33.928829,151.153842,NULL
Crown,959,NULL,NULL,13731,5,2,2500,Lift,-34.426456,150.888434,NULL
Crown,960,NULL,NULL,13731,5,2,2500,Lift,-34.426425,150.888220,NULL
Railway Staiton,963,NULL,NULL,13731,5,2,2500,Ramp,-34.426791,150.887817,NULL
Crown,961,306A,Crown Street,13731,5,2,2500,Path,-34.425872,150.888212,NULL
Crown,956,335,Princes Highway,13731,5,2,2500,Path,-34.425827,150.888638,NULL
Railway Staiton,962,1,Railway Station Square,13731,5,2,2500,Path,-34.427208,150.887947,NULL
Station,958,8,Station Street,13731,5,2,2500,Path,-34.426987,150.888436,NULL
Station,957,8,Station Street,13731,5,2,2500,Stairs,-34.426733,150.888559,NULL
Milner,964,2B,Milner Crescent,13733,5,2,2065,Path,-33.831590,151.192595,NULL
Milray,967,43,Milray Avenue,13733,5,2,2065,Path,-33.831467,151.191573,NULL
Shirley,965,31,Shirley Road,13733,5,2,2065,Ramp,-33.832459,151.192182,NULL
Shirley,966,1,Telopea Street,13733,5,2,2065,Path,-33.832674,151.191792,NULL
Morrison,968,NULL,NULL,13741,5,2,2515,Stairs,-34.275453,150.953675,NULL
Morrison,969,119,Morrison Avenue,13741,5,2,2515,Stairs,-34.275304,150.953508,NULL
Wondabyne Wharf,970,NULL,Unnamed Road,13756,5,2,2256,Ramp,-33.492021,151.257148,NULL
Great Western,973,56,Great Western Highway,13801,5,2,2778,Ramp,-33.735267,150.480885,NULL
Great Western,972,21,Railway Parade,13801,5,2,2778,Ramp,-33.735468,150.481841,NULL
Railway,971,19,Railway Parade,13801,5,2,2778,Stairs,-33.735751,150.482196,NULL
Swan,975,24,Denman Avenue,13864,5,2,2230,Lift,-34.047448,151.143701,NULL
Swan,974,24,Denman Avenue,13864,5,2,2230,Stairs,-34.047412,151.143762,NULL
Swan,977,1,Panorama Avenue,13864,5,2,2230,Lift,-34.047656,151.143584,NULL
Swan,976,1,Panorama Avenue,13864,5,2,2230,Stairs,-34.047698,151.143648,NULL
Park,980,NULL,NULL,13885,5,2,2517,Ramp,-34.349329,150.915110,NULL
Park,978,18,Park Road,13885,5,2,2517,Ramp,-34.349393,150.915389,NULL
Railway,979,1A,Railway Parade,13885,5,2,2517,Stairs,-34.349561,150.915360,NULL
Blackwall,981,35-39,Blackwall Road,13930,5,2,2256,Path,-33.485973,151.324352,NULL
