StationName,StreetNumber,StreetName,Suburb,PostCode,State,EntranceType,EntranceLatitude,EntranceLongitude,ExitNumber,StopID
Church,29,Church Street,Lidcombe,2141,New South Wales,Lift,-33.863460,151.044792,NULL,469
Railway,NULL,Railway Parade,Lidcombe,2141,New South Wales,Stairs,-33.863869,151.044644,NULL,470
Railway,NULL,Railway Parade,Lidcombe,2141,New South Wales,Lift,-33.863867,151.044606,NULL,471
Church,NULL,Church Street,Lidcombe,2141,New South Wales,Stairs,-33.863380,151.044554,NULL,472
Railway,64,Railway Street,Lidcombe,2141,New South Wales,Stairs,-33.863756,151.044279,NULL,473
Catherine,383,A4,Lilyfield,2040,New South Wales,Ramp,-33.874195,151.164823,NULL,474
Catherine,383,A4,Lilyfield,2040,New South Wales,Stairs,-33.874115,151.164768,NULL,475
Great Western,807,Great Western Highway,Linden,2778,New South Wales,Path,-33.715330,150.505321,NULL,476
Burke,NULL,NULL,Linden,2778,New South Wales,Stairs,-33.714744,150.504366,NULL,477
Lindfield,1,Lindfield Avenue,Lindfield,2070,New South Wales,Stairs,-33.775654,151.169509,NULL,478
Lindfield,9,Lindfield Avenue,Lindfield,2070,New South Wales,Stairs,-33.775288,151.169385,NULL,479
Lindfield,9,Lindfield Avenue,Lindfield,2070,New South Wales,Ramp,-33.775267,151.169370,NULL,480
Pacific,1-5,Tryon Place,Lindfield,2070,New South Wales,Stairs,-33.775954,151.169300,NULL,481
Lindfield,NULL,NULL,Lindfield,2070,New South Wales,Stairs,-33.775087,151.169230,NULL,482
Pacific,1-5,Tryon Place,Lindfield,2070,New South Wales,Ramp,-33.775738,151.169107,NULL,483
Pacific,331,A1,Lindfield,2070,New South Wales,Stairs,-33.775702,151.169076,NULL,484
Pacific,58,Railway Crescent,Lisarow,2250,New South Wales,Stairs,-33.382184,151.370179,NULL,485
Pacific,58,Railway Crescent,Lisarow,2250,New South Wales,Path,-33.382192,151.370165,NULL,486
Railway,5,Awaba Street,Lisarow,2250,New South Wales,Stairs,-33.382071,151.370084,NULL,487
Railway,5,Awaba Street,Lisarow,2250,New South Wales,Path,-33.382059,151.370071,NULL,488
Main,114,Main Street,Lithgow,2790,New South Wales,Path,-33.480925,150.156929,NULL,489
Railway,57,Railway Parade,Lithgow,2790,New South Wales,Path,-33.480516,150.156706,NULL,490
Moore,140,Bigge Street,Liverpool,2170,New South Wales,Path,-33.923146,150.927698,NULL,491
Biggs,256,Bigge Street,Liverpool,2170,New South Wales,Lift,-33.924384,150.926997,NULL,492
Biggs,256,Bigge Street,Liverpool,2170,New South Wales,Stairs,-33.924304,150.926937,NULL,493
Station,238,Station Lane,Lochinvar,2321,New South Wales,Ramp,-32.720483,151.450531,NULL,494
Station,NULL,NULL,Lochinvar,2321,New South Wales,Ramp,-32.720394,151.450481,NULL,495
Pitt,NULL,NULL,Loftus,2232,New South Wales,Ramp,-34.044999,151.051388,NULL,496
Loftus,113,Loftus Lane,Loftus,2232,New South Wales,Ramp,-34.045454,151.051209,NULL,497
Recycling,LOT 1,Springhill Road,Spring Hill,2500,New South Wales,Stairs,-34.454811,150.875214,NULL,498
Menangle,NULL,Menangle Road,Campbelltown,2560,New South Wales,Lift,-34.072492,150.797478,NULL,499
Menangle,NULL,Menangle Road,Campbelltown,2560,New South Wales,Lift,-34.072217,150.797388,NULL,500
Menangle,NULL,Menangle Road,Campbelltown,2560,New South Wales,Stairs,-34.072553,150.797159,NULL,501
Menangle,NULL,Menangle Road,Campbelltown,2560,New South Wales,Stairs,-34.072266,150.797075,NULL,502
Burren,71,Burren Street,Newtown,2042,New South Wales,Stairs,-33.896791,151.185386,NULL,503
