SchoolCode,SchoolName,StreetNumber,StreetName,SuburbId,StateId,CountryId,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender,ICSEAValue
8159,Willoughby Girls High School,46,Eaton Street,13581,5,2,Secondary School,-33.803128,151.199957,Comprehensive,Year 7 to Year 12,Girls,1141
3449,Willoughby Public School,37,Oakville Road,13581,5,2,Primary School,-33.802197,151.200123,Comprehensive,Kinder to Year 6,Coed,1152
3451,Willow Tree Public School,42,Merriwa Road,13587,5,2,Primary School,-31.656802,150.729034,Comprehensive,Kinder to Year 6,Coed,959
8491,Willyama High School,652,McGowen Street,1691,5,2,Secondary School,-31.936552,141.473022,Comprehensive,Year 7 to Year 12,Coed,912
5689,Wilson Park School,230,Wyrallah Road,4015,5,2,Schools for Specific Purposes,-28.831923,153.293313,Comprehensive,Medium / High Support needs,Coed,NULL
3454,Wilsons Creek Public School,722,Wilsons Creek Road,13613,5,2,Primary School,-28.570833,153.426178,Comprehensive,Kinder to Year 6,Coed,962
4650,Wilton Public School,21,Maloney Chase,13621,5,2,Primary School,-34.229782,150.686362,Comprehensive,Kinder to Year 6,Coed,1033
3893,Windale Public School,12,Netley Street,13631,5,2,Primary School,-32.992372,151.678338,Comprehensive,Kinder to Year 6,Coed,838
1992,Windang Public School,51,Oakland Avenue,13632,5,2,Primary School,-34.531496,150.865970,Comprehensive,Kinder to Year 6,Coed,993
3457,Windellama Public School,3430,Windellama Road,13635,5,2,Primary School,-35.009988,149.833521,Comprehensive,Kinder to Year 6,Coed,984
8396,Windsor High School,NULL,NULL,8818,5,2,Secondary School,-33.618653,150.833554,Comprehensive,Year 7 to Year 12,Coed,930
4614,Windsor Park Public School,156,Rifle Range Road,1208,5,2,Primary School,-33.640641,150.813492,Comprehensive,Kinder to Year 6,Coed,949
3459,Windsor Public School,LOT 2,Dight Street,13642,5,2,Primary School,-33.610366,150.816413,Comprehensive,Kinder to Year 6,Coed,944
4066,Windsor South Public School,77A,Church Street,11431,5,2,Primary School,-33.618221,150.804036,Comprehensive,Kinder to Year 6,Coed,850
3461,Wingello Public School,591,Murrimba Road,13653,5,2,Primary School,-34.688162,150.153487,Comprehensive,Kinder to Year 6,Coed,948
4575,Wingham Brush Public School,2,Wynter Street,13656,5,2,Primary School,-31.870240,152.376982,Comprehensive,Kinder to Year 6,Coed,945
8391,Wingham High School,9,Rowley Street,13656,5,2,Secondary School,-31.867397,152.382261,Comprehensive,Year 7 to Year 12,Coed,934
7314,Wingham Public School,111,Murray Road,13656,5,2,Primary School,-31.863383,152.350225,Comprehensive,Kinder to Year 6,Coed,903
8573,Winmalee High School,67,Shakespeare Drive,13662,5,2,Secondary School,-33.676047,150.615138,Comprehensive,Year 7 to Year 12,Coed,1056
4436,Winmalee Public School,17,Leslie Street,13662,5,2,Primary School,-33.670272,150.610783,Comprehensive,Kinder to Year 6,Coed,1030
4471,Winston Heights Public School,12,Olympus Street,13672,5,2,Primary School,-33.774850,150.967894,Comprehensive,Kinder to Year 6,Coed,1092
4417,Winston Hills Public School,9,Hillcrest Avenue,13672,5,2,Primary School,-33.773464,150.981106,Comprehensive,Kinder to Year 6,Coed,1082
3762,Wiripaang Public School,NULL,NULL,4729,5,2,Primary School,-32.984172,151.691355,Comprehensive,Kinder to Year 6,Coed,850
4564,Wirreanda Public School,43,Brocklesby Road,7864,5,2,Primary School,-32.743911,151.875219,Comprehensive,Kinder to Year 6,Coed,998
3470,Wisemans Ferry Public School,5548,Old Northern Road,13693,5,2,Primary School,-33.385958,150.984133,Comprehensive,Kinder to Year 6,Coed,985
3473,Wollar Public School,31,Barigan Street,13722,5,2,Primary School,-32.356524,149.948851,Comprehensive,Kinder to Year 6,Coed,863
4438,Wollondilly Public School,NULL,NULL,5151,5,2,Primary School,-34.742953,149.710904,Comprehensive,Kinder to Year 6,Coed,989
3475,Wollongbar Public School,5,Rubiton Street,13730,5,2,Primary School,-28.826990,153.420113,Comprehensive,Kinder to Year 6,Coed,1016
8143,Wollongong High School of the Performing Arts,NULL,NULL,9495,5,2,Secondary School,-34.406432,150.889188,Performing Arts,Year 7 to Year 12,Coed,1036
3954,Wollongong Public School,58,Kembla Street,13731,5,2,Primary School,-34.422861,150.896726,Comprehensive,Kinder to Year 6,Coed,1070
3477,Wollongong West Public School,442,Crown Street,13407,5,2,Primary School,-34.424597,150.871509,Comprehensive,Kinder to Year 6,Coed,987
8596,Wollumbin High School,94,North Arm Road,8963,5,2,Secondary School,-28.333658,153.362515,Comprehensive,Year 7 to Year 12,Coed,966
3479,Wolumla Public School,47,Bega Street,13737,5,2,Primary School,-36.832664,149.811656,Comprehensive,Kinder to Year 6,Coed,947
3482,Wombat Public School,46,Rose Street,13742,5,2,Primary School,-34.426627,148.245202,Comprehensive,Kinder to Year 6,Coed,893
3487,Wongarbon Public School,28,Railway Street,13768,5,2,Primary School,-32.333558,148.759119,Comprehensive,Kinder to Year 6,Coed,929
5609,Woniora Road School,83-85,Woniora Road,5903,5,2,Schools for Specific Purposes,-33.971003,151.103173,Comprehensive,Emotional disturbance,Coed,NULL
5764,Woodberry Learning Centre,3,Hyde Street,13789,5,2,Schools for Specific Purposes,-32.791554,151.671217,Comprehensive,Behaviour Disorder,Coed,NULL
4459,Woodberry Public School,NULL,NULL,13789,5,2,Primary School,-32.792210,151.670508,Comprehensive,Kinder to Year 6,Coed,825
3490,Woodburn Public School,35,Woodburn Street,13792,5,2,Primary School,-29.075390,153.339292,Comprehensive,Kinder to Year 6,Coed,952
3491,Woodenbong Central School,48,Roseberry Street,13796,5,2,Central/Community School,-28.389728,152.610148,Comprehensive,Kinder to Year 12,Coed,882
4492,Woodland Road Public School,20,Woodland Road,NULL,5,2,Primary School,-34.097072,150.815078,Comprehensive,Kinder to Year 6,Coed,938
1857,Woodport Public School,144,The Entrance Road,4247,5,2,Primary School,-33.439347,151.378490,Comprehensive,Kinder to Year 6,Coed,1013
3499,Woodstock Public School,19,Parkes Street,13823,5,2,Primary School,-33.745940,148.849046,Comprehensive,Kinder to Year 6,Coed,756
5667,Wooglemai Environmental Education Centre,NULL,Sheehys Creek Firetrail,6958,5,2,Environmental Education Centre,-34.134567,150.499162,Comprehensive,Environmental Education Centre (formerly Field Stu,Coed,NULL
3501,Woolbrook Public School,12,Campfire Road,13843,5,2,Primary School,-30.970234,151.344607,Comprehensive,Kinder to Year 6,Coed,857
8548,Woolgoolga High School,20,Young Street,10956,5,2,Secondary School,-30.100448,153.190225,Comprehensive,Year 7 to Year 12,Coed,958
3503,Woolgoolga Public School,10,Scarborough Street,13847,5,2,Primary School,-30.112673,153.196501,Comprehensive,Kinder to Year 6,Coed,962
2841,Wooli Public School,30,Main Street,13849,5,2,Primary School,-29.870923,153.265781,Comprehensive,Kinder to Year 6,Coed,955
7442,Woollahra Public School,354,Edgecliff Road,13850,5,2,Primary School,-33.886379,151.241190,Comprehensive,Kinder to Year 6,Coed,1193
3506,Woolomin Public School,9,Dewhurst Street,13860,5,2,Primary School,-31.301770,151.148070,Comprehensive,Kinder to Year 6,Coed,888
8433,Woolooware High School,2R,Woolooware Road,13864,5,2,Secondary School,-34.039811,151.145595,Comprehensive,Year 7 to Year 12,Coed,1054
3957,Woolooware Public School,47,Flinders Road,3260,5,2,Primary School,-34.045454,151.146233,Comprehensive,Kinder to Year 6,Coed,1074
4637,Woongarrah Public School,74,Mataram Road,13883,5,2,Primary School,-33.242434,151.484133,Comprehensive,Kinder to Year 6,Coed,999
4296,Woonona East Public School,NULL,NULL,13885,5,2,Primary School,-34.352261,150.915453,Comprehensive,Kinder to Year 6,Coed,1041
8410,Woonona High School,17,Austin Street,13885,5,2,Secondary School,-34.345037,150.910102,Comprehensive,Year 7 to Year 12,Coed,986
3510,Woonona Public School,1,Stewart Street,13885,5,2,Primary School,-34.345569,150.906806,Comprehensive,Kinder to Year 6,Coed,1058
3735,Woronora River Public School,113A,Prices Circuit,13921,5,2,Primary School,-34.026575,151.041114,Comprehensive,Kinder to Year 6,Coed,1065
