SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,StateName,PostCode,CountryName,LevelOfSchooling,SchoolSubType,LocationLatitude,LocationLongitude,SchoolGender,SchoolSpecialityType
3154,Tallong Public School,80,Bumballa Street,Tallong,,New South Wales,2579,Australia,Primary School,Kinder to Year 6,-34.721496,150.083341,Coed,Comprehensive
3156,Tambar Springs Public School,88,Tamba Street,Tambar Springs,,New South Wales,2381,Australia,Primary School,Kinder to Year 6,-31.348351,149.827874,Coed,Comprehensive
3157,Tamworth Public School,126,Brisbane Street,East Tamworth,,New South Wales,2340,Australia,Primary School,Kinder to Year 6,-31.084712,150.935305,Coed,Comprehensive
3158,Tamworth West Public School,65,Bridge Street,West Tamworth,,New South Wales,2340,Australia,Primary School,Kinder to Year 6,-31.091580,150.920563,Coed,Comprehensive
3159,Tanja Public School,7,Barrabooka Road,Tanja,,New South Wales,2550,Australia,Primary School,Kinder to Year 6,-36.640290,149.975072,Coed,Comprehensive
3162,Tarago Public School,2124,Braidwood Road,Lake Bathurst,,New South Wales,2580,Australia,Primary School,Kinder to Year 6,-35.067671,149.654751,Coed,Comprehensive
3163,Taralga Public School,95,Orchard Street,Taralga,,New South Wales,2580,Australia,Primary School,Kinder to Year 6,-34.397974,149.820962,Coed,Comprehensive
3165,Tarcutta Public School,15,Centenary Avenue,Tarcutta,,New South Wales,2652,Australia,Primary School,Kinder to Year 6,-35.279294,147.738339,Coed,Comprehensive
3167,Taree Public School,12,Macquarie Street,Taree,,New South Wales,2430,Australia,Primary School,Kinder to Year 6,-31.910904,152.462158,Coed,Comprehensive
3168,Taren Point Public School,93,Woodlands Road,Taren Point,,New South Wales,2229,Australia,Primary School,Kinder to Year 6,-34.018080,151.122690,Coed,Comprehensive
3173,Tathra Public School,NULL,NULL,Tathra,,New South Wales,2550,Australia,Primary School,Kinder to Year 6,-36.732802,149.979602,Coed,Comprehensive
3175,Tea Gardens Public School,23,Witt Street,Tea Gardens,,New South Wales,2324,Australia,Primary School,Kinder to Year 6,-32.667785,152.157991,Coed,Comprehensive
3176,Telegraph Point Public School,177,Mooney Street,Telegraph Point,,New South Wales,2441,Australia,Primary School,Kinder to Year 6,-31.334143,152.793129,Coed,Comprehensive
3178,Temora Public School,119,De Boos Street,Temora,,New South Wales,2666,Australia,Primary School,Kinder to Year 6,-34.444843,147.535265,Coed,Comprehensive
3180,Tenambit Public School,10,Edward Street,Tenambit,,New South Wales,2323,Australia,Primary School,Kinder to Year 6,-32.742528,151.604859,Coed,Comprehensive
3182,The Sir Henry Parkes Memorial Public School,205,High Street,Tenterfield,,New South Wales,2372,Australia,Primary School,Kinder to Year 6,-29.056081,152.026106,Coed,Comprehensive
3183,Teralba Public School,57,York Street,Teralba,,New South Wales,2284,Australia,Primary School,Kinder to Year 6,-32.962493,151.605976,Coed,Comprehensive
3185,Terara Public School,20,Millbank Road,Terara,,New South Wales,2540,Australia,Primary School,Kinder to Year 6,-34.866633,150.630380,Coed,Comprehensive
3189,Terranora Public School,638,Terranora Road,Terranora,,New South Wales,2486,Australia,Primary School,Kinder to Year 6,-28.240248,153.499272,Coed,Comprehensive
3190,Terrey Hills Public School,NULL,NULL,Terrey Hills,,New South Wales,2084,Australia,Primary School,Kinder to Year 6,-33.685723,151.222619,Coed,Comprehensive
3191,Terrigal Public School,16,Havenview Road,Terrigal,,New South Wales,2260,Australia,Primary School,Kinder to Year 6,-33.442449,151.438197,Coed,Comprehensive
3195,Tharbogang Public School,1729,White Road,Tharbogang,,New South Wales,2680,Australia,Primary School,Kinder to Year 6,-34.261620,145.984922,Coed,Comprehensive
3200,Thirlmere Public School,1,Mason Street,Thirlmere,,New South Wales,2572,Australia,Primary School,Kinder to Year 6,-34.204832,150.569311,Coed,Comprehensive
3201,Thirroul Public School,33,Sea Foam Avenue,Thirroul,,New South Wales,2515,Australia,Primary School,Kinder to Year 6,-34.315210,150.918701,Coed,Comprehensive
3204,Thornton Public School,20,Government Road,Thornton,,New South Wales,2322,Australia,Primary School,Kinder to Year 6,-32.779381,151.639454,Coed,Comprehensive
3208,Thurgoona Public School,11,Bottlebrush Street,Thurgoona,,New South Wales,2640,Australia,Primary School,Kinder to Year 6,-36.047283,146.983289,Coed,Comprehensive
3211,Tibooburra Outback Public School,14,Briscoe Street,Tibooburra,,New South Wales,2880,Australia,Primary School,Kinder to Year 6,-29.432133,142.010166,Coed,Comprehensive
3213,Tighes Hill Public School,33,Elizabeth Street,Tighes Hill,,New South Wales,2297,Australia,Primary School,Kinder to Year 6,-32.908099,151.751254,Coed,Comprehensive
3214,Central Tilba Public School,89,Corkhill Drive,Central Tilba,,New South Wales,2546,Australia,Primary School,Kinder to Year 6,-36.315664,150.071940,Coed,Comprehensive
3218,Tingha Public School,54,Ruby Street,Tingha,,New South Wales,2369,Australia,Primary School,Kinder to Year 6,-29.959145,151.213606,Coed,Comprehensive
3219,Tinonee Public School,9-11,Hutchinson Street,Tinonee,,New South Wales,2430,Australia,Primary School,Kinder to Year 6,-31.932855,152.413577,Coed,Comprehensive
3221,Tintinhull Public School,85,Tintinhull Road,Tintinhull,,New South Wales,2352,Australia,Primary School,Kinder to Year 6,-31.085665,151.008427,Coed,Comprehensive
3222,Tirranna Public School,NULL,Braidwood Road,Tirrannaville,,New South Wales,2580,Australia,Primary School,Kinder to Year 6,-34.821486,149.682068,Coed,Comprehensive
