TransportId,Name,StopId,StreetNumber,StreetName,Suburb,PostCode,State,Country,EntranceType,Latitude,Longitude,ExitNumber
6518,O'Sullivan,456,2,O'Sullivan Road,Leumeah,2560,New South Wales,Australia,Lift,-34.050674,150.830805,NULL
6519,Plough Inn,457,NULL,Plough Inn Road,Leumeah,2560,New South Wales,Australia,Path,-34.050312,150.830767,NULL
6520,Old Leumeah,458,4,O'Sullivan Road,Leumeah,2560,New South Wales,Australia,Ramp,-34.050801,150.830725,NULL
6521,Old Leumeah,459,2,O'Sullivan Road,Leumeah,2560,New South Wales,Australia,Stairs,-34.050813,150.830702,NULL
6522,O'Sullivan,460,2,O'Sullivan Road,Leumeah,2560,New South Wales,Australia,Stairs,-34.050895,150.830574,NULL
6523,Plough Inn,461,NULL,Plough Inn Road,Leumeah,2560,New South Wales,Australia,Lift,-34.050482,150.830560,NULL
6524,O'Sullivan,462,4,O'Sullivan Road,Leumeah,2560,New South Wales,Australia,Ramp,-34.051029,150.830433,NULL
6525,Railway,463,133,Leura Mall,Leura,2780,New South Wales,Australia,Stairs,-33.712120,150.331128,NULL
6526,Thomas,464,4,Victoria Street,Lewisham,2049,New South Wales,Australia,Stairs,-33.893109,151.147598,NULL
6527,Railway,465,2,Victoria Street,Lewisham,2049,New South Wales,Australia,Stairs,-33.893635,151.147544,NULL
6528,Hudson,466,2,McGill Street,Lewisham,2049,New South Wales,Australia,Path,-33.893850,151.143462,NULL
6529,Smith,467,16,Flour Mill Way,Summer Hill,2130,New South Wales,Australia,Path,-33.893786,151.143342,NULL
6530,Church,468,31A,Church Street,Lidcombe,2141,New South Wales,Australia,Path,-33.863531,151.045064,NULL
6531,Church,469,29,Church Street,Lidcombe,2141,New South Wales,Australia,Lift,-33.863460,151.044792,NULL
6532,Railway,470,NULL,Railway Parade,Lidcombe,2141,New South Wales,Australia,Stairs,-33.863869,151.044644,NULL
6533,Railway,471,NULL,Railway Parade,Lidcombe,2141,New South Wales,Australia,Lift,-33.863867,151.044606,NULL
6534,Church,472,NULL,Church Street,Lidcombe,2141,New South Wales,Australia,Stairs,-33.863380,151.044554,NULL
6535,Railway,473,64,Railway Street,Lidcombe,2141,New South Wales,Australia,Stairs,-33.863756,151.044279,NULL
6536,Catherine,474,383,A4,Lilyfield,2040,New South Wales,Australia,Ramp,-33.874195,151.164823,NULL
6537,Catherine,475,383,A4,Lilyfield,2040,New South Wales,Australia,Stairs,-33.874115,151.164768,NULL
6538,Great Western,476,807,Great Western Highway,Linden,2778,New South Wales,Australia,Path,-33.715330,150.505321,NULL
6539,Burke,477,NULL,NULL,Linden,2778,New South Wales,Australia,Stairs,-33.714744,150.504366,NULL
6540,Lindfield,478,1,Lindfield Avenue,Lindfield,2070,New South Wales,Australia,Stairs,-33.775654,151.169509,NULL
6541,Lindfield,479,9,Lindfield Avenue,Lindfield,2070,New South Wales,Australia,Stairs,-33.775288,151.169385,NULL
