TransportId,Name,StopId,StreetNumber,StreetName,Suburb,PostCode,State,Country,EntranceType,Latitude,Longitude,ExitNumber
5740,Joyce,689,152B,Pendle Way,Pendle Hill,2145,New South Wales,Australia,Ramp,-33.801352,150.955929,NULL
5741,Joyce,690,152B,Pendle Way,Pendle Hill,2145,New South Wales,Australia,Path,-33.801308,150.955850,NULL
5742,Railway,691,346,Pennant Hills Road,Pennant Hills,2120,New South Wales,Australia,Stairs,-33.737930,151.072777,NULL
5743,Railway,692,5,Ramsay Road,Pennant Hills,2120,New South Wales,Australia,Lift,-33.737955,151.072626,NULL
5744,Yarrara,693,NULL,NULL,Pennant Hills,2120,New South Wales,Australia,Path,-33.737715,151.072606,NULL
5745,Yarrara,694,NULL,NULL,Pennant Hills,2120,New South Wales,Australia,Stairs,-33.737723,151.072573,NULL
5746,Railway,695,NULL,Railway Street,Pennant Hills,2120,New South Wales,Australia,Ramp,-33.738161,151.072564,NULL
5747,Yarrara,696,5,Ramsay Road,Pennant Hills,2120,New South Wales,Australia,Lift,-33.737865,151.072498,NULL
5748,Combewood,697,81,Lord Sheffield Circuit,Penrith,2750,New South Wales,Australia,Stairs,-33.749858,150.696576,NULL
5749,Combewood,698,7,Station Street,Penrith,2750,New South Wales,Australia,Lift,-33.749851,150.696504,NULL
5750,Jane,699,57,Great Western Highway,Penrith,2750,New South Wales,Australia,Stairs,-33.750290,150.696471,NULL
5751,Jane,700,57,Great Western Highway,Penrith,2750,New South Wales,Australia,Lift,-33.750281,150.696433,NULL
5752,Jane,701,7,Station Street,Penrith,2750,New South Wales,Australia,Stairs,-33.750188,150.696196,NULL
5753,Penrose,702,901,Penrose Road,Penrose,2579,New South Wales,Australia,Path,-34.672305,150.212274,NULL
5754,Kareela,703,310,Kareela Road,Penrose,2579,New South Wales,Australia,Path,-34.672160,150.212086,NULL
5755,Bridge,704,NULL,NULL,Penshurst,2222,New South Wales,Australia,Stairs,-33.966081,151.088837,NULL
5756,Laycock,705,10,The Strand,Penshurst,2222,New South Wales,Australia,Ramp,-33.966332,151.088801,NULL
5757,Laycock,706,10,The Strand,Penshurst,2222,New South Wales,Australia,Stairs,-33.966319,151.088713,NULL
5758,Bridge,707,5,Penshurst Street,Penshurst,2222,New South Wales,Australia,Lift,-33.966097,151.088668,NULL
5759,Trafalgar,708,3,Regent Street,Petersham,2049,New South Wales,Australia,Stairs,-33.894022,151.155767,NULL
5760,Terminus,709,36,Terminus Street,Petersham,2049,New South Wales,Australia,Stairs,-33.893606,151.155541,NULL
5761,Prince,710,7,Campbell Street,Picton,2571,New South Wales,Australia,Stairs,-34.179648,150.612881,NULL
5762,Station,711,7,Campbell Street,Picton,2571,New South Wales,Australia,Stairs,-34.179278,150.612730,NULL
5763,Prince,712,7,Campbell Street,Picton,2571,New South Wales,Australia,Stairs,-34.179682,150.612704,NULL
5764,Station,713,6,Campbell Street,Picton,2571,New South Wales,Australia,Lift,-34.179211,150.612664,NULL
5765,Kurrawa,714,NULL,NULL,Point Clare,2250,New South Wales,Australia,Stairs,-33.446300,151.328526,NULL
5766,Brisbane Water,715,47,Brisbane Water Drive,Point Clare,2250,New South Wales,Australia,Stairs,-33.446182,151.328264,NULL
5767,Brisbane Water,716,47,Brisbane Water Drive,Point Clare,2250,New South Wales,Australia,Ramp,-33.446213,151.328219,NULL
5768,Old Port,717,LOT 1,Darcy Road,Port Kembla,2505,New South Wales,Australia,Ramp,-34.477188,150.902856,NULL
5769,Flinders,718,NULL,NULL,Port Kembla,2505,New South Wales,Australia,Stairs,-34.472979,150.887326,NULL
5770,Flinders,719,2,Flinders Street,Port Kembla,2505,New South Wales,Australia,Stairs,-34.473129,150.887041,NULL
5771,Punchbowl,720,715,Punchbowl Road,Punchbowl,2196,New South Wales,Australia,Stairs,-33.925252,151.055579,NULL
5772,The Boulevarde,721,279A,The Boulevarde,Punchbowl,2196,New South Wales,Australia,Stairs,-33.925567,151.055571,NULL
5773,Grandview,722,79,Grandview Street,Pymble,2073,New South Wales,Australia,Stairs,-33.744638,151.142273,NULL
5774,Pacific,723,987,A1,Pymble,2073,New South Wales,Australia,Stairs,-33.744983,151.142198,NULL
5775,Murray,724,94,Union Street,Pyrmont,2009,New South Wales,Australia,Path,-33.869535,151.197707,NULL
5776,Pearce,725,44,Pearce Road,Quakers Hill,2763,New South Wales,Australia,Lift,-33.727310,150.886272,NULL
5777,Pearce,726,46A,Pearce Road,Quakers Hill,2763,New South Wales,Australia,Stairs,-33.727215,150.886217,NULL
5778,Railway,727,23,Railway Road,Quakers Hill,2763,New South Wales,Australia,Lift,-33.727431,150.886038,NULL
5779,Railway,728,21,Railway Road,Quakers Hill,2763,New South Wales,Australia,Stairs,-33.727214,150.885887,NULL
5780,Gibbons,729,NULL,NULL,Redfern,2016,New South Wales,Australia,Path,-33.892029,151.199511,NULL
5781,Lawson,730,5,Lawson Street,Redfern,2016,New South Wales,Australia,Path,-33.891563,151.198824,NULL
5782,Marian,731,NULL,NULL,Eveleigh,2015,New South Wales,Australia,Stairs,-33.892704,151.198181,NULL
5783,Amy,732,4,Amy Street,Regents Park,2143,New South Wales,Australia,Path,-33.883351,151.024178,NULL
5784,Park,733,401,Park Road,Regents Park,2143,New South Wales,Australia,Stairs,-33.883115,151.023793,NULL
5785,Park,734,401,Park Road,Regents Park,2143,New South Wales,Australia,Ramp,-33.883246,151.023700,NULL
5786,Blamey,735,2,Revesby Place,Revesby,2212,New South Wales,Australia,Stairs,-33.952707,151.015486,NULL
5787,Marco,736,NULL,NULL,Revesby,2212,New South Wales,Australia,Lift,-33.952358,151.015319,NULL
5788,Marco,737,NULL,NULL,Revesby,2212,New South Wales,Australia,Stairs,-33.952311,151.015277,NULL
5789,Blamey,738,4,Revesby Place,Revesby,2212,New South Wales,Australia,Lift,-33.952736,151.015232,NULL
5790,Blaxland,739,NULL,Blaxland Road,Rhodes,2138,New South Wales,Australia,Stairs,-33.830676,151.087236,NULL
5791,Blaxland,740,NULL,Blaxland Road,Rhodes,2138,New South Wales,Australia,Lift,-33.830649,151.087223,NULL
5792,Walker,741,4,Walker Street,Rhodes,2138,New South Wales,Australia,Lift,-33.830456,151.086876,NULL
5793,Walker,742,4,Walker Street,Rhodes,2138,New South Wales,Australia,Stairs,-33.830640,151.086821,NULL
5794,E Market,743,21,East Market Street,Richmond,2753,New South Wales,Australia,Stairs,-33.598771,150.752309,NULL
5795,E Market,744,21,East Market Street,Richmond,2753,New South Wales,Australia,Ramp,-33.598854,150.752253,NULL
5796,Garfield,745,86,West Parade,Riverstone,2765,New South Wales,Australia,Path,-33.679768,150.860729,NULL
5797,Garfield,746,NULL,NULL,Riverstone,2765,New South Wales,Australia,Path,-33.679856,150.860520,NULL
5798,Riverstone,747,1,Riverstone Parade,Riverstone,2765,New South Wales,Australia,Path,-33.679051,150.860440,NULL
5799,Belmore,748,220,Belmore Road,Riverwood,2210,New South Wales,Australia,Path,-33.951470,151.052562,NULL
5800,Belmore,749,NULL,NULL,Riverwood,2210,New South Wales,Australia,Stairs,-33.951600,151.052549,NULL
5801,Geeves,750,NULL,NULL,Rockdale,2216,New South Wales,Australia,Stairs,-33.952303,151.136987,NULL
5802,Geeves,751,NULL,NULL,Rockdale,2216,New South Wales,Australia,Lift,-33.952487,151.136861,NULL
5803,Geeves,752,1A,Tramway Arcade,Rockdale,2216,New South Wales,Australia,Stairs,-33.952580,151.136844,NULL
5804,Railway,753,88,Railway Street,Rockdale,2216,New South Wales,Australia,Ramp,-33.951910,151.136441,NULL
5805,Railway,754,102,Railway Street,Rockdale,2216,New South Wales,Australia,Stairs,-33.952210,151.136280,NULL
5806,Beames,755,NULL,NULL,Rooty Hill,2766,New South Wales,Australia,Stairs,-33.771882,150.844461,NULL
5807,North,756,NULL,NULL,Rooty Hill,2766,New South Wales,Australia,Stairs,-33.771486,150.844284,NULL
5808,Beames,757,1,Rooty Hill Road South,Rooty Hill,2766,New South Wales,Australia,Ramp,-33.772013,150.844247,NULL
5809,Rooty Hill North,758,2A,Rooty Hill Road North,Rooty Hill,2766,New South Wales,Australia,Ramp,-33.771248,150.843872,NULL
5810,James Ruse,759,120,James Ruse Drive,Rosehill,2142,New South Wales,Australia,Stairs,-33.823038,151.022231,NULL
5811,James Ruse,760,116,James Ruse Drive,Rosehill,2142,New South Wales,Australia,Stairs,-33.823220,151.022210,NULL
5812,James Ruse,761,116,James Ruse Drive,Rosehill,2142,New South Wales,Australia,Ramp,-33.823084,151.021815,NULL
5813,Hill,762,43,Hill Street,Roseville,2069,New South Wales,Australia,Ramp,-33.784348,151.177866,NULL
5814,Pacific,763,NULL,NULL,Roseville,2069,New South Wales,Australia,Ramp,-33.784679,151.177749,NULL
5815,Bayview,764,31,Bayview Crescent,Annandale,2038,New South Wales,Australia,Ramp,-33.871857,151.172948,NULL
5816,Bayview,765,31,Bayview Crescent,Annandale,2038,New South Wales,Australia,Ramp,-33.871953,151.172914,NULL
5817,The Crescent,766,31,Bayview Crescent,Annandale,2038,New South Wales,Australia,Stairs,-33.871748,151.172869,NULL
5818,Brodie,767,5,Brodie Street,Rydalmere,2116,New South Wales,Australia,Path,-33.810156,151.029479,NULL
5819,Astra,768,1,Astra Street,Shortland,2307,New South Wales,Australia,Stairs,-32.872794,151.702801,NULL
5820,Railway,769,371,Lawrence Hargrave Drive,Scarborough,2515,New South Wales,Australia,Stairs,-34.265678,150.965496,NULL
5821,Railway,770,1,Railway Avenue,Scarborough,2515,New South Wales,Australia,Stairs,-34.265516,150.965194,NULL
5822,Railway,771,NULL,Railway Terrace,Schofields,2762,New South Wales,Australia,Path,-33.704835,150.874238,NULL
5823,Railway,772,NULL,Railway Terrace,Schofields,2762,New South Wales,Australia,Lift,-33.704438,150.874017,NULL
5824,Railway,773,NULL,NULL,Schofields,2762,New South Wales,Australia,Stairs,-33.704187,150.873932,NULL
5825,Bridge,774,NULL,Siding Terrace,Schofields,2762,New South Wales,Australia,Lift,-33.704544,150.873610,NULL
5826,Bridge,775,NULL,Siding Terrace,Schofields,2762,New South Wales,Australia,Stairs,-33.704317,150.873526,NULL
5827,Susan,776,109,Susan Street,Scone,2337,New South Wales,Australia,Path,-32.046706,150.867072,NULL
5828,Helen,777,NULL,NULL,Sefton,2162,New South Wales,Australia,Lift,-33.885162,151.011841,NULL
5829,Wellington,778,141,Wellington Road,Sefton,2162,New South Wales,Australia,Lift,-33.885496,151.011797,NULL
5830,Helen,779,44A,Helen Street,Sefton,2162,New South Wales,Australia,Stairs,-33.885160,151.011671,NULL
5831,Wellington,780,143,Wellington Road,Sefton,2162,New South Wales,Australia,Stairs,-33.885432,151.011622,NULL
5832,Prospect,781,198,Prospect Highway,Seven Hills,2147,New South Wales,Australia,Stairs,-33.774105,150.936191,NULL
5833,The Hills,782,47,Boomerang Place,Seven Hills,2147,New South Wales,Australia,Lift,-33.774557,150.936172,NULL
5834,Prospect,783,NULL,NULL,Seven Hills,2147,New South Wales,Australia,Lift,-33.774071,150.936089,NULL
5835,Prospect,784,NULL,NULL,Seven Hills,2147,New South Wales,Australia,Ramp,-33.774102,150.935925,NULL
5836,The Hills,785,53,Boomerang Place,Seven Hills,2147,New South Wales,Australia,Ramp,-33.774520,150.935432,NULL
5837,Piper,786,NULL,Piper Drive,Shell Cove,2529,New South Wales,Australia,Lift,-34.591251,150.844818,NULL
5838,Piper,787,1,Piper Drive,Shell Cove,2529,New South Wales,Australia,Stairs,-34.591307,150.844801,NULL
5839,Piper,788,NULL,Piper Drive,Shell Cove,2529,New South Wales,Australia,Lift,-34.591225,150.844669,NULL
5840,Piper,789,1,Piper Drive,Shell Cove,2529,New South Wales,Australia,Stairs,-34.591287,150.844651,NULL
5841,Munro,790,4,Munro Lane,Singleton,2330,New South Wales,Australia,Ramp,-32.571960,151.165682,NULL
5842,Munro,791,18,Munro Street,Singleton,2330,New South Wales,Australia,Ramp,-32.571853,151.165540,NULL
5843,Munro,792,14,Munro Street,Singleton,2330,New South Wales,Australia,Path,-32.571833,151.165486,NULL
5844,Macquarie,793,238,Macquarie Road,Springwood,2777,New South Wales,Australia,Stairs,-33.699189,150.563697,NULL
5845,Macquarie,794,248,Macquarie Road,Springwood,2777,New South Wales,Australia,Ramp,-33.699361,150.563522,NULL
5846,Station,795,NULL,NULL,Springwood,2777,New South Wales,Australia,Ramp,-33.698964,150.563304,NULL
5847,James,796,2,Saint James Road,Sydney,2000,New South Wales,Australia,Stairs,-33.869927,151.211498,NULL
5848,James,797,2,Saint James Road,Sydney,2000,New South Wales,Australia,Ramp,-33.870033,151.211289,NULL
5849,Elizabeth,798,118,Elizabeth Street,Sydney,2000,New South Wales,Australia,Lift,-33.870678,151.210484,NULL
5850,Elizabeth,799,118,Elizabeth Street,Sydney,2000,New South Wales,Australia,Stairs,-33.870749,151.210448,NULL
5851,Sergeants,800,NULL,NULL,St Leonards,2065,New South Wales,Australia,Stairs,-33.822246,151.194762,NULL
5852,Sergeants,801,1,Sergeants Lane,St Leonards,2065,New South Wales,Australia,Lift,-33.822223,151.194760,NULL
5853,Herbert,802,NULL,NULL,St Leonards,2065,New South Wales,Australia,Lift,-33.822323,151.193647,NULL
5854,Herbert,803,3,Herbert Street,St Leonards,2065,New South Wales,Australia,Stairs,-33.822316,151.193608,NULL
5855,Herbert,804,NULL,NULL,St Leonards,2065,New South Wales,Australia,Stairs,-33.822462,151.193432,NULL
5856,Herbert,805,NULL,NULL,St Leonards,2065,New South Wales,Australia,Lift,-33.822430,151.193367,NULL
5857,Forrester,806,NULL,Station Street,North Saint Marys,2760,New South Wales,Australia,Lift,-33.761897,150.775158,NULL
5858,Station,807,113b,Station Street,Saint Marys,2760,New South Wales,Australia,Lift,-33.762350,150.775057,NULL
5859,Forrester,808,NULL,Station Street,North Saint Marys,2760,New South Wales,Australia,Stairs,-33.761880,150.774925,NULL
5860,Station,809,NULL,NULL,North Saint Marys,2760,New South Wales,Australia,Stairs,-33.762318,150.774872,NULL
5861,May,810,1,Goodsell Street,St Peters,2044,New South Wales,Australia,Path,-33.907453,151.180861,NULL
5862,Lord,811,9,Lord Street,Newtown,2042,New South Wales,Australia,Path,-33.906942,151.180649,NULL
5863,Douglas,812,140,Percival Road,Stanmore,2048,New South Wales,Australia,Ramp,-33.894164,151.164204,NULL
5864,Trafalgar,813,110,Cambridge Street,Stanmore,2048,New South Wales,Australia,Ramp,-33.894676,151.164157,NULL
5865,Railway,814,NULL,Wodi Wodi Walking Track,Stanwell Park,2508,New South Wales,Australia,Stairs,-34.226183,150.981234,NULL
5866,Railway,815,NULL,Wodi Wodi Walking Track,Stanwell Park,2508,New South Wales,Australia,Stairs,-34.226144,150.981004,NULL
