SchoolId,SchoolCode,SchoolName,StreetNumber,StreetName,Suburb,District,PostCode,State,Country,LevelOfSchooling,Latitude,Longitude,SchoolSpecialtyType,SchoolSubType,SchoolGender
754,4456,Franklin Public School,27,Snowy Mountains Highway,Tumut,,2720,New South Wales,Australia,Primary School,-35.315059,148.230502,Comprehensive,Kinder to Year 6,Coed
755,1943,Frederickton Public School,NULL,NULL,Frederickton,,2440,New South Wales,Australia,Primary School,-31.033583,152.879353,Comprehensive,Kinder to Year 6,Coed
756,1944,Freemans Reach Public School,NULL,NULL,Freemans Reach,,2756,New South Wales,Australia,Primary School,-33.558697,150.799309,Comprehensive,Kinder to Year 6,Coed
757,1946,Frenchs Forest Public School,8,Ann Street,Frenchs Forest,,2086,New South Wales,Australia,Primary School,-33.751516,151.224695,Comprehensive,Kinder to Year 6,Coed
758,5685,G S Kidd Memorial School,14A,Walter Rodd Street,Gunnedah,,2380,New South Wales,Australia,Schools for Specific Purposes,-30.991687,150.252499,Comprehensive,Medium / High Support needs,Coed
759,5674,Gadara School,53,Bundara Crescent,Tumut,,2720,New South Wales,Australia,Schools for Specific Purposes,-35.316654,148.232519,Comprehensive,Medium / High Support needs,Coed
760,8481,Galston High School,403,Galston Road,Galston,,2159,New South Wales,Australia,Secondary School,-33.660931,151.042348,Comprehensive,Year 7 to Year 12,Coed
761,1952,Galston Public School,NULL,NULL,Galston,,2159,New South Wales,Australia,Primary School,-33.648197,151.045170,Comprehensive,Kinder to Year 6,Coed
762,1954,Ganmain Public School,41,Langham Street,Ganmain,,2702,New South Wales,Australia,Primary School,-34.796923,147.040034,Comprehensive,Kinder to Year 6,Coed
763,1956,Garah Public School,34,Midkin Street,Garah,,2405,New South Wales,Australia,Primary School,-29.077177,149.634928,Comprehensive,Kinder to Year 6,Coed
764,4136,Garden Suburb Public School,2,Progress Place,Garden Suburb,,2289,New South Wales,Australia,Primary School,-32.947882,151.682275,Comprehensive,Kinder to Year 6,Coed
765,7418,Gardeners Road Public School,827,Botany Road,Rosebery,,2018,New South Wales,Australia,Primary School,-33.920643,151.198034,Comprehensive,Kinder to Year 6,Coed
766,5767,George Bass School,745,A22,Bass Hill,,2197,New South Wales,Australia,Schools for Specific Purposes,-33.898788,150.994974,Comprehensive,Medium / High Support needs,Coed
767,3702,Georges Hall Public School,17,Pennington Avenue,Georges Hall,,2198,New South Wales,Australia,Primary School,-33.912435,150.992200,Comprehensive,Kinder to Year 6,Coed
768,8813,Georges River College Hurstville Boys Campus,26,Orange Street,Hurstville,,2220,New South Wales,Australia,Secondary School,-33.962826,151.109808,Junior College,Year 7 to Year 10,Boys
769,8284,Georges River College Oatley Senior Campus,158,Hurstville Road,Oatley,,2223,New South Wales,Australia,Secondary School,-33.977001,151.081391,Senior College,Year 11 to Year 12,Coed
770,8408,Georges River College Peakhurst Campus,NULL,NULL,Peakhurst,,2210,New South Wales,Australia,Secondary School,-33.966882,151.056013,Junior College,Year 7 to Year 10,Coed
771,8857,Georges River College Penshurst Girls Campus,2-4,Saint Georges Road,Penshurst,,2222,New South Wales,Australia,Secondary School,-33.964071,151.086010,Junior College,Year 7 to Year 10,Girls
772,5430,Georges River Environmental Education Centre,30,Buckingham Crescent,Chipping Norton,,2170,New South Wales,Australia,Environmental Education Centre,-33.910278,150.961511,Comprehensive,Environmental Education Centre (formerly Field Stu,Coed
773,1969,Gerogery Public School,41,Coach Road,Gerogery,,2642,New South Wales,Australia,Primary School,-35.832130,146.998143,Comprehensive,Kinder to Year 6,Coed
774,1971,Gerringong Public School,12,Archibald Road,Gerringong,,2534,New South Wales,Australia,Primary School,-34.749384,150.821499,Comprehensive,Kinder to Year 6,Coed
775,1972,Geurie Public School,72,Narragal Street,Geurie,,2818,New South Wales,Australia,Primary School,-32.396100,148.829450,Comprehensive,Kinder to Year 6,Coed
776,5714,Gibberagong Environmental Education Centre,NULL,Bobbin Head Road,Mount Colah,,2079,New South Wales,Australia,Environmental Education Centre,-33.667445,151.141740,Comprehensive,Environmental Education Centre (formerly Field Stu,Coed
777,1978,Gilgai Public School,28,Schwenkes Lane,Gilgai,,2360,New South Wales,Australia,Primary School,-29.852694,151.115555,Comprehensive,Kinder to Year 6,Coed
778,8349,Gilgandra High School,50,Eiraben Street,Gilgandra,,2827,New South Wales,Australia,Secondary School,-31.703431,148.666529,Comprehensive,Year 7 to Year 12,Coed
779,1979,Gilgandra Public School,10,Wrigley Street,Gilgandra,,2827,New South Wales,Australia,Primary School,-31.707981,148.664640,Comprehensive,Kinder to Year 6,Coed
780,1982,Gillieston Public School,100,Ryans Road,Gillieston Heights,,2321,New South Wales,Australia,Primary School,-32.752320,151.530713,Comprehensive,Kinder to Year 6,Coed
781,4421,Gillwinga Public School,NULL,NULL,South Grafton,,2460,New South Wales,Australia,Primary School,-29.724385,152.933824,Comprehensive,Kinder to Year 6,Coed
782,1986,Girilambone Public School,NULL,Myall Street,Girilambone,,2831,New South Wales,Australia,Primary School,-31.249670,146.908851,Comprehensive,Kinder to Year 6,Coed
783,5456,Girrakool School,10,McCabe Road,Kariong,,2250,New South Wales,Australia,Schools for Specific Purposes,-33.423700,151.296000,Comprehensive,Juvenile Justice establishment,Boys
784,8500,Girraween High School,110,Gilba Road,Girraween,,2145,New South Wales,Australia,Secondary School,-33.799890,150.944577,Comprehensive,Year 7 to Year 12,Coed
785,1988,Girraween Public School,9,Bando Road,Girraween,,2145,New South Wales,Australia,Primary School,-33.799711,150.950356,Comprehensive,Kinder to Year 6,Coed
786,1990,Gladesville Public School,NULL,NULL,Gladesville,,2111,New South Wales,Australia,Primary School,-33.832977,151.125699,Comprehensive,Kinder to Year 6,Coed
787,1991,Gladstone Public School,13,Kinchela Street,Gladstone,,2440,New South Wales,Australia,Primary School,-31.026485,152.946508,Comprehensive,Kinder to Year 6,Coed
